DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
1/11/18;01508;Milano - Università Vita-Salute San Raffaele;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;133
1/11/18;01508;Milano - Università Vita-Salute San Raffaele;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;2
1/11/18;01508;Milano - Università Vita-Salute San Raffaele;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01508;Milano - Università Vita-Salute San Raffaele;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01508;Milano - Università Vita-Salute San Raffaele;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01509;Milano-Bicocca - Università degli studi;01 ;Mense;0;0
1/11/18;01509;Milano-Bicocca - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01509;Milano-Bicocca - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01509;Milano-Bicocca - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01509;Milano-Bicocca - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01509;Milano-Bicocca - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01509;Milano-Bicocca - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01510;Rozzano (MI) Humanitas University;01 ;Mense;0;0
1/11/18;01510;Rozzano (MI) Humanitas University;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01510;Rozzano (MI) Humanitas University;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01510;Rozzano (MI) Humanitas University;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01510;Rozzano (MI) Humanitas University;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;1;240
1/11/18;01510;Rozzano (MI) Humanitas University;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;126
1/11/18;01510;Rozzano (MI) Humanitas University;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01601;Bergamo - Università degli studi;01 ;Mense;0;0
1/11/18;01601;Bergamo - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01601;Bergamo - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01601;Bergamo - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01601;Bergamo - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01601;Bergamo - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01601;Bergamo - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01701;Brescia - Università degli studi;01 ;Mense;0;0
1/11/18;01701;Brescia - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01701;Brescia - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01701;Brescia - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01701;Brescia - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01701;Brescia - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
